image,price,price_off,proc_name
https://assets.bbystatic.com//lib-marketing-badge/dist/images/OnlyAtBestBuy-5691a1792c13f0f594ed4c1bbd4f1875.svg,829.99,regular,"Lenovo - Yoga 710 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6083/6083539_sa.jpg;maxHeight=145;maxWidth=222,849.99,regular,"Dell - Inspiron 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Era Gray"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6936/6936477_sa.jpg;maxHeight=145;maxWidth=222,1299.99,regular,"Apple - MacBook Pro® - 13"" Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6082/6082000_sa.jpg;maxHeight=145;maxWidth=222,949.99,regular,"HP - ENVY x360 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive - Natural Silver"
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/com/misc/windows_mixed_reality_ultra_badge.jpg,849.99,onSale,"Dell - Inspiron 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti - 256GB Solid State Drive - Black"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8532/8532502_sa.jpg;maxHeight=145;maxWidth=222,1799.99,regular,"Apple - MacBook® Pro - 15.4"" Display - Intel Core i7 - 16GB Memory - 256GB Flash Storage - Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4600/4600000_sa.jpg;maxHeight=145;maxWidth=222,1349.99,regular,"Apple - MacBook Air®  - 13.3"" Display - Intel Core i7 - 8GB Memory - 512GB Solid State Drive (Latest Model) - Silver"
https://assets.bbystatic.com//lib-marketing-badge/dist/images/OnlyAtBestBuy-5691a1792c13f0f594ed4c1bbd4f1875.svg,399.99,regular,"HP - 2-in-1 11.6"" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 500GB Hard Drive - HP finish in natural silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5721/5721806_sa.jpg;maxHeight=145;maxWidth=222,1799.99,regular,"Apple - MacBook Pro®  - 13"" Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Space Gray"
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/global/student-hub/badge-student-deals.png,599.99,regular,"Lenovo - Yoga 720 12.5"" Touch-Screen Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Platinum"
